ResID;Chinese_Simple;English;
m1;星期一;Monday;MONDAY
m2;星期二;Tuesday;TUESDAY
m3;星期三;Wednesday;WEDNESDAY
m4;星期四;Thursday;THURSDAY
m5;星期五;Friday;FRIDAY
m6;星期六;Saturday;SATURDAY
m7;星期日;Sunday;SUNDAY
m8;行车记录;Driving records;DRIVING RECORDS
m9;文件管理;File management;FILE MANAGEMENT
m10;系统设置;System settings;SYSTEM SETTINGS
m11;壁纸设置;Wallpaper settings;WALLPAPER SETTINGS
m12;请输入开锁密码;Please enter the unlock code;PLEASE ENTER THE UNLOCK CODE
m13;FM发射;FM transmission;FM TRANSMISSION
m14;存储器模式;Memory mode;
m15;摄像机模式;Camera mode;
m16;记录仪模式;Recorder mode
m17;时间设置;Time setting
m18;语言设置;Language settings
m19;音量设置;Volume settings
m20;壁纸设置;Wallpaper settings
m21;中文;Chinese
m22;ENGLISH;ENGLISH
m23;低;low
m24;中;middle
m25;高;high
m26;关闭;Shut down
m27;山水天地;Mountains and rivers
m28;卡通人物;Cartoon characters
m29;雨天雨水;Rainy day rain
m30;恭喜发财;Wishing you prosperity
m31;用户管理;user management 
m32;记录查询;Record Query;
m33;系统设置;System settings;
m34;网络设置;Network Settings;
m35;门锁配置;Door lock configuration;
m36;系统信息;system information;
m37;;;空
m38;新建用户;;
m39;用户管理;;
m40;用户名称;;
m41;用户详情;;
m42;请输入用户名称;;
m43;消息推送;;
m44;管理员权限;;
m45;新建指纹密码卡;;
m46;新建人脸(选配);;
m47;(开启);;
m48;(关闭);
m49;请单人正脸出镜，并保持安静;
m50;系统信息;
m51;恢复出厂;
m52;关于设备;
mv1;系统自检;
mv2;老化测试;
mv3;出厂测试;
mv4;状态信息;
mv5;门锁配置;
mv6;验证模式;
mv7;单验证模式;
mv8;防撬报警;
mv9;人体感应;
mv10;常开模式;
mv11;左开右开选择;
mv12;自弹锁体选择;
mv13;自动反锁选择;
mv14;自动反锁阈值;
mp1;;
mp2;;
mp3;;
mp4;;
mp5;;
mp6;;
mp7;;
mp8;;
mp9;;
mp10;;
mp11;;
mp12;;
mp13;;
mp14;;
mp15;;
mp16;;
mp17;;
mp18;;
mp19;;
mp20;;
mp21;;
mp22;;
mp23;;
mp24;;
mp25;;
mp26;;
mp27;;
mp28;;
mp29;;
mp30;;;
mp31;;;
mp32;;;
mp33;;;
mst1;;;
mst2;;;
mst3;;;
mst4;;;
mst5;;;
mst6;;;
mst7;;;
mst8;;;
mst9;;;
mst10;;;
mst11;;;
mst12;;;
mst13;;;
ms1;;;
ms2;;;
ms3;;;
ms4;;;
ms5;;;
ms6;;;
ms7;;;
ms8;;;
ms9;;;
ms10;;;
ms11;;;
ms12;;;
ms13;;;
ms14;;;
ms15;;;
ms16;;
ms17;;
ms18;;
ms19;;
ms20;;
ms21;;
ms22;;
ms23;;
ms24;;
ms25;;
ms26;;
ms27;;
ms28;;
ms29;;
ms30;;
ms31;;
ms32;;
ms33;;
ms34;;
ms35;;
mf1;;
mf2;;
mf3;;
tip1;;
tip2;;
tip3;;
tip4;;
tip5;;
tip6;;
tip7;;
tip8;;
tip9;;
tip10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
